,state,sales_per_capita,sales_per_capita_ex_video
36,SD,905.4038889864945,65.94614813513414
34,RI,838.9344708057674,245.73093165234584
16,MA,766.7106288200964,766.7106288200964
6,DE,655.1619081202687,232.6340255183367
43,WV,595.8489247324811,91.90059083741468
29,NY,510.38242401358,406.24885344333387
8,GA,415.078909736465,415.078909736465
27,NJ,366.6702841457871,366.6702841457871
30,OH,355.44895983914375,271.0137917618309
4,CT,344.4610324589513,344.4610324589513
19,MI,335.2273647727379,335.2273647727379
33,PA,327.98815653241263,327.98815653241263
35,SC,325.3967681637547,325.3967681637547
17,MD,320.8466423983403,320.8466423983403
5,DC,317.01670896938407,317.01670896938407
7,FL,314.602035510515,314.602035510515
32,OR,310.89172653913545,88.02273026093648
37,TN,239.9724060130997,239.9724060130997
23,NC,236.248165797773,236.248165797773
39,VA,235.40107451640552,235.40107451640552
14,KY,233.3528440368615,233.3528440368615
21,MO,228.55251293897354,228.55251293897354
26,NH,225.10560808725978,225.10560808725978
11,IL,223.01362479062624,223.01362479062624
18,ME,202.67006593975296,202.67006593975296
40,VT,195.40751617118158,195.40751617118158
12,IN,181.98178657771922,181.98178657771922
38,TX,179.68404888245556,179.68404888245556
0,AR,165.80523952120643,165.80523952120643
2,CA,158.7375240810816,158.7375240810816
10,ID,151.08032969864462,151.08032969864462
1,AZ,136.78868142683004,136.78868142683004
9,IA,117.53480495984817,117.53480495984817
3,CO,107.43345456071292,107.43345456071292
15,LA,105.35625511536749,105.35625511536749
42,WI,99.649451491205,99.649451491205
20,MN,99.39533206835854,99.39533206835854
41,WA,97.39116679766722,97.39116679766722
13,KS,92.37449532114834,92.37449532114834
25,NE,91.20920473464547,91.20920473464547
28,NM,60.280783596142996,60.280783596142996
31,OK,56.07546792747495,56.07546792747495
22,MT,49.81038631059425,49.81038631059425
44,WY,43.40347479538517,43.40347479538517
24,ND,36.86888153602541,36.86888153602541
